Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Finland,%,false,-0.25,-8.13,3.54,18.18,-9.27,16.57,-4.28,-8.36,-1.73,-3.42,55.94,4.05,13.30,-5.62,-18.57,21.27,-2.83,-12.89,-6.60,15.83,-80.73,-49.89,13.07,-63.31,-145.15,-5963.19,-4.55
Botswana,%,false,-1.02,0.48,-0.57,0.50,1.71,2.59,-0.64,-0.33,0.12,-0.38,3.22,0.60,-12.19,1.23,2.69,3.49,-3.07,16.41,-14.65,19.92,7.95,-15.99,-0.93,-2.09,-0.64,-1.46,7.05
Mongolia,%,false,6.49,-5.82,-3.47,-5.30,2.91,-1.96,6.82,-1.05,0.24,3.35,-9.47,-5.83,-0.88,-0.73,9.21,9.11,7.77,0.63,2.73,-6.99,7.63,8.72,5.78,5.70,3.42,4.66,5.45
Burkina Faso,%,false,1.70,1.16,0.96,1.72,1.40,-0.27,1.96,2.76,-0.30,4.64,6.06,2.30,10.54,1.64,1.82,0.12,2.01,2.18,1.76,2.94,-24.58,2.31,3.20,1.53,2.24,57.58,1.68
Nepal,%,false,1.89,-0.67,4.56,5.03,5.25,2.79,3.70,4.49,7.13,2.47,-7.96,-2.64,4.74,0.75,2.97,-0.75,1.15,5.44,6.87,4.55,25.37,5.40,2.11,4.36,-2.01,11.62,1.54
Chile,%,false,-2.39,7.90,4.26,10.58,9.39,15.74,15.67,2.24,5.10,-6.48,-38.62,2.40,2.49,15.20,1.53,3.25,19.47,9.27,-4.90,9.14,-67.75,12.21,14.49,-26.29,33.00,117.00,4.76
Côte d'Ivoire,%,false,8.22,7.42,7.02,6.73,-0.02,-0.27,0.96,0.04,1.37,-0.85,-37.94,-1.13,-4.82,-4.32,0.94,-3.46,-2.13,-2.04,-3.89,-2.23,-2.40,2.15,2.83,-0.09,2.23,2.73,0.72
Bahrain,%,false,-2.13,14.69,5.68,2.71,4.89,7.67,5.12,9.05,3.10,5.10,3.44,4.69,4.06,1.10,11.28,7.97,3.47,7.06,1.61,5.14,1.90,3.08,7.04,4.89,2.29,0.44,1.67
Denmark,%,false,15.51,-7.83,3.51,4.90,-3.90,17.70,-10.80,-5.07,-3.75,-5.76,1.31,-0.38,7.82,-8.45,-5.62,12.01,-6.63,-5.15,-4.38,0.70,-11.77,-9.30,3.12,-8.34,-4.45,10.15,-4.41
Solomon Islands,%,false,0.34,0.33,0.36,0.41,0.30,0.38,0.33,0.33,0.38,0.37,-49.35,0.88,0.86,2.04,1.66,0.32,0.53,-0.13,0.82,0.82,-797.57,-0.10,-0.30,0.17,0.11,-371.89,0.04
